account_id,txn_date,amount_paise,direction,description,reference,counterparty
ACC-002,2026-06-26,453085,credit,Payment from Northwind Traders,UTR140620424485,Northwind Traders
ACC-002,2026-06-26,18936835,credit,Payment from Prestige Estates,UTR663972481559,Prestige Estates
ACC-002,2026-06-27,-667250,debit,Crest Capital payment,UTR811904963699,Crest Capital
ACC-002,2026-06-27,12754297,credit,Payment from Zephyr Ltd,UTR234317442585,Zephyr Ltd
ACC-002,2026-06-27,7511412,credit,Payment from Apex Dynamics,,Apex Dynamics
ACC-002,2026-06-27,28617539,credit,Payment from Metro Logistics,UTR648433258112,Metro Logistics
ACC-002,2026-06-27,-3910573,debit,Synergy Solutions payment,UTR193635218050,Synergy Solutions
ACC-002,2026-06-28,21312372,credit,Payment from BoltParts Pvt,UTR186340000596,BoltParts Pvt
ACC-002,2026-06-28,-4903799,debit,Synergy Solutions payment,UTR888567255357,Synergy Solutions
ACC-002,2026-06-28,2934236,credit,Payment from Pinnacle Tech,UTR490462379884,Pinnacle Tech
ACC-002,2026-06-28,-7280781,debit,Vertex Systems payment,UTR971792578891,Vertex Systems
ACC-002,2026-06-28,4768819,credit,Payment from Acme Corp Ltd,,Acme Corp Ltd
ACC-002,2026-06-29,4201529,credit,Payment from Acme Corp Ltd,UTR584392046519,Acme Corp Ltd
ACC-002,2026-06-29,11639335,credit,Payment from Acme Corp Ltd,UTR726848188124,Acme Corp Ltd
ACC-002,2026-06-29,-20976019,debit,Acme Corp Ltd payment,UTR507802091871,Acme Corp Ltd
ACC-002,2026-06-30,-1667984,debit,Horizon Exports payment,UTR407732520156,Horizon Exports
ACC-002,2026-06-30,-2884656,debit,Zephyr Ltd payment,UTR646259916866,Zephyr Ltd
ACC-002,2026-06-30,4207920,credit,Payment from Bluechip Industries,UTR333844962406,Bluechip Industries
ACC-002,2026-06-30,7023735,credit,Payment from Vertex Systems,,Vertex Systems
ACC-002,2026-07-01,22088083,credit,Payment from Zephyr Ltd,,Zephyr Ltd
ACC-002,2026-07-01,-2082653,debit,Horizon Exports payment,,Horizon Exports
ACC-002,2026-07-01,-2300840,debit,Crest Capital payment,UTR882360527749,Crest Capital
ACC-002,2026-07-01,-1273670,debit,Metro Logistics payment,UTR498545891235,Metro Logistics
ACC-002,2026-07-01,83102825,credit,Payment from Bluechip Industries,UTR127891611849,Bluechip Industries
ACC-002,2026-07-02,-4238115,debit,Bluechip Industries payment,UTR709812392951,Bluechip Industries
ACC-002,2026-07-02,-10449420,debit,Northwind Traders payment,,Northwind Traders
ACC-002,2026-07-02,-7791205,debit,Metro Logistics payment,UTR179778590209,Metro Logistics
ACC-002,2026-07-02,-2521656,debit,Northwind Traders payment,UTR238918633188,Northwind Traders
ACC-002,2026-07-03,-2131420,debit,Apex Dynamics payment,UTR667468951032,Apex Dynamics
ACC-002,2026-07-03,43618932,credit,Payment from Northwind Traders,UTR375216607657,Northwind Traders
ACC-002,2026-07-03,-36504378,debit,Zephyr Ltd payment,UTR787732369667,Zephyr Ltd
ACC-002,2026-07-04,-2723057,debit,Vertex Systems payment,,Vertex Systems
ACC-002,2026-07-04,9882785,credit,Payment from Northwind Traders,UTR765299027914,Northwind Traders
ACC-002,2026-07-04,-894838,debit,Synergy Solutions payment,UTR948863580109,Synergy Solutions
ACC-002,2026-07-04,4180090,credit,Payment from Vertex Systems,UTR557723843956,Vertex Systems
ACC-002,2026-07-05,-1264466,debit,Horizon Exports payment,UTR985815005569,Horizon Exports
ACC-002,2026-07-05,-3335458,debit,Apex Dynamics payment,UTR856227660834,Apex Dynamics
ACC-002,2026-07-06,4463301,credit,Payment from Northwind Traders,UTR450977696076,Northwind Traders
ACC-002,2026-07-06,-5345081,debit,Metro Logistics payment,UTR243446395572,Metro Logistics
ACC-002,2026-07-07,-3119927,debit,Bluechip Industries payment,UTR255683626158,Bluechip Industries
ACC-002,2026-07-07,33880777,credit,Payment from BoltParts Pvt,,BoltParts Pvt
ACC-002,2026-07-07,-5110001,debit,Crest Capital payment,UTR892755129397,Crest Capital
ACC-002,2026-07-07,110531220,credit,Payment from Synergy Solutions,UTR666918371818,Synergy Solutions
ACC-002,2026-07-08,-3238361,debit,Horizon Exports payment,UTR337257122934,Horizon Exports
ACC-002,2026-07-08,10086505,credit,Payment from Vertex Systems,UTR754960583409,Vertex Systems
ACC-002,2026-07-08,-1477141,debit,Crest Capital payment,,Crest Capital
ACC-002,2026-07-08,13145989,credit,Payment from Pinnacle Tech,UTR939089625715,Pinnacle Tech
ACC-002,2026-07-08,2822030,credit,Payment from Pinnacle Tech,UTR415908686997,Pinnacle Tech
ACC-002,2026-07-09,-10692489,debit,Pinnacle Tech payment,UTR787147912287,Pinnacle Tech
ACC-002,2026-07-09,-6827014,debit,Quantum Supplies payment,UTR473605408203,Quantum Supplies
ACC-002,2026-07-10,14789809,credit,Payment from Apex Dynamics,UTR651479758282,Apex Dynamics
ACC-002,2026-07-10,20214519,credit,Payment from Acme Corp Ltd,UTR265171508177,Acme Corp Ltd
ACC-002,2026-07-10,-9895893,debit,Vertex Systems payment,UTR774015096434,Vertex Systems
ACC-002,2026-07-10,71301412,credit,Payment from Synergy Solutions,UTR655495494160,Synergy Solutions
ACC-002,2026-07-11,-4539454,debit,Metro Logistics payment,UTR503798381019,Metro Logistics
ACC-002,2026-07-11,-18593108,debit,Synergy Solutions payment,UTR794444859626,Synergy Solutions
ACC-002,2026-07-11,-4231971,debit,Acme Corp Ltd payment,UTR961809200976,Acme Corp Ltd
ACC-002,2026-07-11,-5233622,debit,Apex Dynamics payment,UTR793741295384,Apex Dynamics
ACC-002,2026-07-11,-6895910,debit,Metro Logistics payment,,Metro Logistics
ACC-002,2026-07-12,-54326822,debit,Crest Capital payment,UTR581117672542,Crest Capital
ACC-002,2026-07-12,17778792,credit,Payment from Synergy Solutions,UTR551847274182,Synergy Solutions
ACC-002,2026-07-12,-29733074,debit,Bluechip Industries payment,UTR873361609375,Bluechip Industries
ACC-002,2026-07-13,3112885,credit,Payment from Bluechip Industries,UTR626830252568,Bluechip Industries
ACC-002,2026-07-13,36055269,credit,Payment from Bluechip Industries,UTR488893282253,Bluechip Industries
ACC-002,2026-07-13,-3710554,debit,Quantum Supplies payment,UTR983231287229,Quantum Supplies
ACC-002,2026-07-14,-10907042,debit,Vertex Systems payment,UTR430636290339,Vertex Systems
ACC-002,2026-07-14,7733070,credit,Payment from Apex Dynamics,UTR639898813531,Apex Dynamics
ACC-002,2026-07-14,-571954,debit,Synergy Solutions payment,UTR234380032135,Synergy Solutions
ACC-002,2026-07-14,-2102905,debit,Vertex Systems payment,UTR538001454361,Vertex Systems
ACC-002,2026-07-15,-4064736,debit,Apex Dynamics payment,UTR819159529356,Apex Dynamics
ACC-002,2026-07-15,-11095915,debit,Prestige Estates payment,UTR691966545051,Prestige Estates
ACC-002,2026-07-15,-4175049,debit,Prestige Estates payment,UTR364513422871,Prestige Estates
ACC-002,2026-07-15,5405489,credit,Payment from Zephyr Ltd,,Zephyr Ltd
ACC-002,2026-07-16,23834176,credit,Payment from Quantum Supplies,UTR949034254604,Quantum Supplies
ACC-002,2026-07-16,18826493,credit,Payment from Northwind Traders,UTR275789144602,Northwind Traders
ACC-002,2026-07-16,-11484381,debit,Pinnacle Tech payment,UTR453421026328,Pinnacle Tech
ACC-002,2026-07-17,3947735,credit,Payment from Quantum Supplies,UTR729866826929,Quantum Supplies
ACC-002,2026-07-17,-3368694,debit,Zephyr Ltd payment,,Zephyr Ltd
ACC-002,2026-07-17,621048,credit,Payment from Northwind Traders,,Northwind Traders
ACC-002,2026-07-17,-1966742,debit,Acme Corp Ltd payment,,Acme Corp Ltd
ACC-002,2026-07-18,23308815,credit,Payment from Acme Corp Ltd,UTR469294146760,Acme Corp Ltd
ACC-002,2026-07-18,-2316774,debit,Prestige Estates payment,,Prestige Estates
ACC-002,2026-07-18,-1942139,debit,Northwind Traders payment,UTR989886348922,Northwind Traders
ACC-002,2026-07-18,8143905,credit,Payment from BoltParts Pvt,UTR907514342796,BoltParts Pvt
ACC-002,2026-07-19,1786059,credit,Payment from Apex Dynamics,UTR289808182453,Apex Dynamics
ACC-002,2026-07-19,-22290381,debit,Vertex Systems payment,UTR538459200091,Vertex Systems
ACC-002,2026-07-19,2580004,credit,Payment from Quantum Supplies,,Quantum Supplies
ACC-002,2026-07-19,10115122,credit,Payment from Horizon Exports,UTR395295136297,Horizon Exports
ACC-002,2026-07-20,-10878282,debit,Prestige Estates payment,UTR818382900665,Prestige Estates
ACC-002,2026-07-20,-7951327,debit,Synergy Solutions payment,UTR853360527876,Synergy Solutions
ACC-002,2026-07-20,-6051525,debit,Bluechip Industries payment,,Bluechip Industries
ACC-002,2026-07-20,72212963,credit,Payment from Apex Dynamics,UTR343157964776,Apex Dynamics
ACC-002,2026-07-21,-22353438,debit,Northwind Traders payment,UTR769966957585,Northwind Traders
ACC-002,2026-07-21,2753808,credit,Payment from Synergy Solutions,UTR938456693474,Synergy Solutions
ACC-002,2026-07-21,-3546506,debit,Zephyr Ltd payment,UTR189281077298,Zephyr Ltd
ACC-002,2026-07-22,-15582387,debit,Bluechip Industries payment,UTR321214382495,Bluechip Industries
ACC-002,2026-07-22,-9178042,debit,Vertex Systems payment,UTR674900639822,Vertex Systems
ACC-002,2026-07-22,15512228,credit,Payment from Horizon Exports,UTR591818317190,Horizon Exports
ACC-002,2026-07-22,45976790,credit,Payment from Apex Dynamics,UTR600000441294,Apex Dynamics
ACC-002,2026-07-22,1205327,credit,Payment from Vertex Systems,UTR380873461000,Vertex Systems
ACC-002,2026-07-23,16647553,credit,Payment from Metro Logistics,UTR479776888469,Metro Logistics
ACC-002,2026-07-23,164533759,credit,Payment from Metro Logistics,UTR619406611023,Metro Logistics
ACC-002,2026-07-24,9017223,credit,Payment from Prestige Estates,UTR807663841396,Prestige Estates
ACC-002,2026-07-24,-316990,debit,Metro Logistics payment,UTR516211396374,Metro Logistics
ACC-002,2026-07-25,-22593894,debit,BoltParts Pvt payment,UTR248345165064,BoltParts Pvt
ACC-002,2026-07-25,-50360407,debit,Quantum Supplies payment,UTR899410868608,Quantum Supplies
ACC-002,2026-07-25,-42157923,debit,Zephyr Ltd payment,UTR430620099988,Zephyr Ltd
ACC-002,2026-07-25,-1529565,debit,Horizon Exports payment,,Horizon Exports
ACC-002,2026-07-25,-3560118,debit,Zephyr Ltd payment,UTR898327940253,Zephyr Ltd
ACC-003,2026-05-31,-1127166,debit,Acme Corp Ltd payment,,Acme Corp Ltd
ACC-003,2026-05-31,27018073,credit,Payment from Acme Corp Ltd,UTR136910709084,Acme Corp Ltd
ACC-003,2026-06-01,-8413818,debit,Vertex Systems payment,UTR355288401397,Vertex Systems
ACC-003,2026-06-01,5237220,credit,Payment from Bluechip Industries,,Bluechip Industries
ACC-003,2026-06-01,24008292,credit,Payment from Acme Corp Ltd,,Acme Corp Ltd
ACC-003,2026-06-01,9647560,credit,Payment from Vertex Systems,UTR359075283955,Vertex Systems
ACC-003,2026-06-01,-16747954,debit,Prestige Estates payment,UTR165606286550,Prestige Estates
ACC-003,2026-06-02,-4483917,debit,Quantum Supplies payment,UTR837202429065,Quantum Supplies
ACC-003,2026-06-02,-3238424,debit,Pinnacle Tech payment,UTR303480347115,Pinnacle Tech
ACC-003,2026-06-02,-12830950,debit,Apex Dynamics payment,UTR427385361962,Apex Dynamics
ACC-003,2026-06-03,-13121235,debit,Apex Dynamics payment,UTR248305185574,Apex Dynamics
ACC-003,2026-06-03,15503937,credit,Payment from Pinnacle Tech,UTR188676926429,Pinnacle Tech
ACC-003,2026-06-03,-19141708,debit,Horizon Exports payment,UTR513469894146,Horizon Exports
ACC-003,2026-06-04,28796069,credit,Payment from Crest Capital,,Crest Capital
ACC-003,2026-06-04,-1723004,debit,Vertex Systems payment,,Vertex Systems
ACC-003,2026-06-05,-3308531,debit,Prestige Estates payment,UTR310183500752,Prestige Estates
ACC-003,2026-06-05,39359599,credit,Payment from Metro Logistics,UTR875689998101,Metro Logistics
ACC-003,2026-06-05,9963222,credit,Payment from Zephyr Ltd,UTR951784850549,Zephyr Ltd
ACC-003,2026-06-05,3305388,credit,Payment from Prestige Estates,UTR613236897932,Prestige Estates
ACC-003,2026-06-06,-4101812,debit,Apex Dynamics payment,UTR451498968954,Apex Dynamics
ACC-003,2026-06-06,2663733,credit,Payment from Zephyr Ltd,UTR117806602466,Zephyr Ltd
ACC-003,2026-06-07,-9693210,debit,Bluechip Industries payment,UTR423916031362,Bluechip Industries
ACC-003,2026-06-07,12155091,credit,Payment from Northwind Traders,UTR819624530104,Northwind Traders
ACC-003,2026-06-07,46942097,credit,Payment from Quantum Supplies,UTR807482294267,Quantum Supplies
ACC-003,2026-06-07,-11993145,debit,Metro Logistics payment,UTR700094177194,Metro Logistics
ACC-003,2026-06-08,-23567278,debit,Northwind Traders payment,UTR675777869916,Northwind Traders
ACC-003,2026-06-08,-25989262,debit,Acme Corp Ltd payment,UTR550998984401,Acme Corp Ltd
ACC-003,2026-06-08,-11479294,debit,Northwind Traders payment,UTR266246027419,Northwind Traders
ACC-003,2026-06-08,6651883,credit,Payment from Acme Corp Ltd,UTR778320951396,Acme Corp Ltd
ACC-003,2026-06-08,-5505831,debit,Horizon Exports payment,UTR707876223942,Horizon Exports
ACC-003,2026-06-09,7722795,credit,Payment from Acme Corp Ltd,UTR995510198977,Acme Corp Ltd
ACC-003,2026-06-09,-1476246,debit,Metro Logistics payment,,Metro Logistics
ACC-003,2026-06-09,17513746,credit,Payment from Northwind Traders,UTR377139018198,Northwind Traders
ACC-003,2026-06-09,14735131,credit,Payment from Crest Capital,UTR508361278207,Crest Capital
ACC-003,2026-06-09,-5340867,debit,Pinnacle Tech payment,UTR817605785471,Pinnacle Tech
ACC-003,2026-06-10,63809237,credit,Payment from BoltParts Pvt,UTR162173968482,BoltParts Pvt
ACC-003,2026-06-10,19537295,credit,Payment from Quantum Supplies,UTR464146123458,Quantum Supplies
ACC-003,2026-06-11,-14095989,debit,Bluechip Industries payment,UTR622125362176,Bluechip Industries
ACC-003,2026-06-11,114999442,credit,Payment from Prestige Estates,,Prestige Estates
ACC-003,2026-06-12,-13957092,debit,Northwind Traders payment,UTR331762745410,Northwind Traders
ACC-003,2026-06-12,26021185,credit,Payment from Vertex Systems,,Vertex Systems
ACC-003,2026-06-13,-936844,debit,Northwind Traders payment,UTR528850089728,Northwind Traders
ACC-003,2026-06-13,-2191937,debit,Quantum Supplies payment,UTR860159724595,Quantum Supplies
ACC-003,2026-06-13,57811156,credit,Payment from Metro Logistics,UTR157320030087,Metro Logistics
ACC-003,2026-06-13,17843795,credit,Payment from BoltParts Pvt,UTR756936114566,BoltParts Pvt
ACC-003,2026-06-14,3947555,credit,Payment from Apex Dynamics,UTR638806010341,Apex Dynamics
ACC-003,2026-06-14,32863117,credit,Payment from Zephyr Ltd,UTR519449391948,Zephyr Ltd
ACC-003,2026-06-14,-3404502,debit,BoltParts Pvt payment,UTR882742541620,BoltParts Pvt
ACC-003,2026-06-14,29195382,credit,Payment from BoltParts Pvt,UTR528378557598,BoltParts Pvt
ACC-003,2026-06-14,47591718,credit,Payment from Synergy Solutions,UTR439057432441,Synergy Solutions
ACC-003,2026-06-15,-7040461,debit,Synergy Solutions payment,UTR712277588519,Synergy Solutions
ACC-003,2026-06-15,13597041,credit,Payment from Bluechip Industries,UTR707110439018,Bluechip Industries
ACC-003,2026-06-15,-7675930,debit,BoltParts Pvt payment,UTR526979063011,BoltParts Pvt
ACC-003,2026-06-15,963330,credit,Payment from Apex Dynamics,,Apex Dynamics
ACC-003,2026-06-15,-8031085,debit,Zephyr Ltd payment,UTR393351125065,Zephyr Ltd
ACC-003,2026-06-16,27954548,credit,Payment from Northwind Traders,UTR428226135271,Northwind Traders
ACC-003,2026-06-16,-1067030,debit,Horizon Exports payment,UTR754964484237,Horizon Exports
ACC-003,2026-06-16,91019621,credit,Payment from Vertex Systems,UTR105603463447,Vertex Systems
ACC-003,2026-06-16,2064602,credit,Payment from Pinnacle Tech,UTR573884083684,Pinnacle Tech
ACC-003,2026-06-16,-1450423,debit,Crest Capital payment,UTR248581786231,Crest Capital
ACC-003,2026-06-17,-3402771,debit,Synergy Solutions payment,UTR419198265730,Synergy Solutions
ACC-003,2026-06-17,-1706238,debit,Metro Logistics payment,UTR961466841884,Metro Logistics
ACC-003,2026-06-17,6712097,credit,Payment from Zephyr Ltd,UTR722478488545,Zephyr Ltd
ACC-003,2026-06-17,-28032606,debit,Zephyr Ltd payment,UTR944741523484,Zephyr Ltd
ACC-003,2026-06-18,-3787127,debit,Metro Logistics payment,UTR175990148909,Metro Logistics
ACC-003,2026-06-18,-1771244,debit,Crest Capital payment,UTR648351263590,Crest Capital
ACC-003,2026-06-19,9883691,credit,Payment from Quantum Supplies,UTR178928574575,Quantum Supplies
ACC-003,2026-06-19,-8917216,debit,Horizon Exports payment,UTR685836997048,Horizon Exports
ACC-003,2026-06-19,-10178499,debit,Bluechip Industries payment,UTR499296357998,Bluechip Industries
ACC-003,2026-06-20,-2337240,debit,BoltParts Pvt payment,UTR281913377709,BoltParts Pvt
ACC-003,2026-06-20,-1326106,debit,Quantum Supplies payment,UTR928786143023,Quantum Supplies
ACC-003,2026-06-21,5126567,credit,Payment from Apex Dynamics,UTR341629441437,Apex Dynamics
ACC-003,2026-06-21,-1202056,debit,Bluechip Industries payment,UTR531103560912,Bluechip Industries
ACC-003,2026-06-21,-2903064,debit,Horizon Exports payment,UTR265358241424,Horizon Exports
ACC-003,2026-06-21,-2175965,debit,Synergy Solutions payment,,Synergy Solutions
ACC-003,2026-06-22,-5473146,debit,BoltParts Pvt payment,UTR440798476551,BoltParts Pvt
ACC-003,2026-06-22,-6799897,debit,Synergy Solutions payment,UTR892155890847,Synergy Solutions
ACC-003,2026-06-23,37732636,credit,Payment from Synergy Solutions,UTR227606824112,Synergy Solutions
ACC-003,2026-06-23,-2034294,debit,Acme Corp Ltd payment,UTR915974639288,Acme Corp Ltd
ACC-003,2026-06-23,-1498258,debit,Zephyr Ltd payment,UTR715601913080,Zephyr Ltd
ACC-003,2026-06-23,-5614586,debit,Pinnacle Tech payment,UTR824305341537,Pinnacle Tech
ACC-003,2026-06-23,33701965,credit,Payment from Pinnacle Tech,UTR318541239164,Pinnacle Tech
ACC-003,2026-06-24,23029491,credit,Payment from Vertex Systems,UTR992080855332,Vertex Systems
ACC-003,2026-06-24,10236047,credit,Payment from Apex Dynamics,UTR692155642250,Apex Dynamics
ACC-003,2026-06-24,12125175,credit,Payment from Northwind Traders,UTR681922902638,Northwind Traders
ACC-003,2026-06-24,17470919,credit,Payment from Quantum Supplies,UTR745931058066,Quantum Supplies
ACC-003,2026-06-24,25584728,credit,Payment from BoltParts Pvt,,BoltParts Pvt
ACC-003,2026-06-25,-1592880,debit,Vertex Systems payment,UTR230194141422,Vertex Systems
ACC-003,2026-06-25,21246493,credit,Payment from Zephyr Ltd,UTR754631352267,Zephyr Ltd
ACC-003,2026-06-25,-20350407,debit,Northwind Traders payment,UTR797874934613,Northwind Traders
ACC-003,2026-06-25,-362425,debit,Bluechip Industries payment,UTR415635609113,Bluechip Industries
ACC-003,2026-06-26,170140,credit,Payment from Northwind Traders,UTR632617105267,Northwind Traders
ACC-003,2026-06-26,3169017,credit,Payment from Northwind Traders,UTR853376495451,Northwind Traders
ACC-003,2026-06-26,27919847,credit,Payment from Horizon Exports,,Horizon Exports
ACC-003,2026-06-27,73332340,credit,Payment from Northwind Traders,UTR345993620171,Northwind Traders
ACC-003,2026-06-27,14788318,credit,Payment from Bluechip Industries,UTR918473236457,Bluechip Industries
ACC-003,2026-06-27,-3136067,debit,Apex Dynamics payment,UTR700329539251,Apex Dynamics
ACC-003,2026-06-27,-4300623,debit,Crest Capital payment,UTR146200045145,Crest Capital
ACC-003,2026-06-27,-275105,debit,Apex Dynamics payment,UTR820824665009,Apex Dynamics
ACC-003,2026-06-28,-2096128,debit,Prestige Estates payment,UTR483380872138,Prestige Estates
ACC-003,2026-06-28,-257763,debit,Crest Capital payment,UTR328650942257,Crest Capital
ACC-003,2026-06-28,-16502555,debit,Apex Dynamics payment,UTR881087256575,Apex Dynamics
ACC-003,2026-06-29,-7445025,debit,Northwind Traders payment,,Northwind Traders
ACC-003,2026-06-29,1168591,credit,Payment from Vertex Systems,UTR286997587025,Vertex Systems
ACC-003,2026-06-29,-3540449,debit,Synergy Solutions payment,,Synergy Solutions
ACC-003,2026-06-29,-17584815,debit,Bluechip Industries payment,UTR246437877032,Bluechip Industries
ACC-003,2026-06-29,-76589302,debit,Apex Dynamics payment,,Apex Dynamics
ACC-003,2026-06-30,-1084951,debit,Metro Logistics payment,UTR455242735878,Metro Logistics
ACC-003,2026-06-30,19437559,credit,Payment from Crest Capital,UTR394773921954,Crest Capital
ACC-003,2026-06-30,3688698,credit,Payment from Quantum Supplies,UTR974599771604,Quantum Supplies
ACC-003,2026-07-01,-3304837,debit,Pinnacle Tech payment,UTR636657254891,Pinnacle Tech
ACC-003,2026-07-01,-50380168,debit,Synergy Solutions payment,,Synergy Solutions
ACC-003,2026-07-02,-1796649,debit,Metro Logistics payment,,Metro Logistics
ACC-003,2026-07-02,-1569615,debit,Apex Dynamics payment,UTR642075774411,Apex Dynamics
ACC-003,2026-07-03,-2512707,debit,Synergy Solutions payment,UTR965372936925,Synergy Solutions
ACC-003,2026-07-03,-15306042,debit,Synergy Solutions payment,UTR207571505778,Synergy Solutions
ACC-003,2026-07-03,-3036989,debit,Quantum Supplies payment,,Quantum Supplies
ACC-003,2026-07-03,-5690776,debit,Horizon Exports payment,,Horizon Exports
ACC-003,2026-07-04,-28541910,debit,Zephyr Ltd payment,UTR404412657737,Zephyr Ltd
ACC-003,2026-07-04,-1640251,debit,BoltParts Pvt payment,UTR831741497149,BoltParts Pvt
ACC-003,2026-07-04,4426723,credit,Payment from Quantum Supplies,UTR569157075393,Quantum Supplies
ACC-003,2026-07-04,18611410,credit,Payment from Quantum Supplies,UTR624902647083,Quantum Supplies
ACC-003,2026-07-04,13099394,credit,Payment from BoltParts Pvt,UTR476649721582,BoltParts Pvt
ACC-003,2026-07-05,59968586,credit,Payment from Crest Capital,UTR349412308447,Crest Capital
ACC-003,2026-07-05,12127477,credit,Payment from Pinnacle Tech,UTR251609147228,Pinnacle Tech
ACC-003,2026-07-06,-3226015,debit,Apex Dynamics payment,,Apex Dynamics
ACC-003,2026-07-06,-10763705,debit,Quantum Supplies payment,UTR283180441986,Quantum Supplies
ACC-003,2026-07-06,31698878,credit,Payment from Horizon Exports,UTR266422547450,Horizon Exports
ACC-003,2026-07-06,-2598396,debit,Pinnacle Tech payment,,Pinnacle Tech
ACC-003,2026-07-06,-6406513,debit,Northwind Traders payment,UTR483901493835,Northwind Traders
ACC-003,2026-07-07,-5101038,debit,Synergy Solutions payment,UTR759711267586,Synergy Solutions
ACC-003,2026-07-07,-21067863,debit,Metro Logistics payment,UTR128735375961,Metro Logistics
ACC-003,2026-07-07,-8096888,debit,Crest Capital payment,UTR921148984176,Crest Capital
ACC-003,2026-07-07,5641311,credit,Payment from Pinnacle Tech,UTR975734866161,Pinnacle Tech
ACC-003,2026-07-07,-12219552,debit,Zephyr Ltd payment,UTR117084078319,Zephyr Ltd
ACC-003,2026-07-08,25060057,credit,Payment from Synergy Solutions,,Synergy Solutions
ACC-003,2026-07-08,4926466,credit,Payment from Vertex Systems,UTR950349263131,Vertex Systems
ACC-003,2026-07-08,8087699,credit,Payment from BoltParts Pvt,UTR337349278479,BoltParts Pvt
ACC-003,2026-07-08,-12999939,debit,Acme Corp Ltd payment,UTR652816532468,Acme Corp Ltd
ACC-003,2026-07-09,-3633475,debit,Pinnacle Tech payment,UTR690715047902,Pinnacle Tech
ACC-003,2026-07-09,15238944,credit,Payment from Vertex Systems,,Vertex Systems
ACC-003,2026-07-09,12765378,credit,Payment from Apex Dynamics,UTR798303430374,Apex Dynamics
ACC-003,2026-07-09,-4280963,debit,Apex Dynamics payment,UTR365628557943,Apex Dynamics
ACC-003,2026-07-09,6684142,credit,Payment from Acme Corp Ltd,,Acme Corp Ltd
ACC-003,2026-07-10,-20143897,debit,Horizon Exports payment,UTR229603412288,Horizon Exports
ACC-003,2026-07-10,-8259786,debit,Acme Corp Ltd payment,UTR646164502396,Acme Corp Ltd
ACC-003,2026-07-11,-7030749,debit,Bluechip Industries payment,UTR957918756928,Bluechip Industries
ACC-003,2026-07-11,4339457,credit,Payment from Crest Capital,,Crest Capital
ACC-003,2026-07-11,-2915981,debit,Apex Dynamics payment,UTR882813408006,Apex Dynamics
ACC-003,2026-07-11,-12442078,debit,Vertex Systems payment,UTR497330782704,Vertex Systems
ACC-003,2026-07-12,-6694533,debit,Horizon Exports payment,UTR730906078844,Horizon Exports
ACC-003,2026-07-12,-8302208,debit,Quantum Supplies payment,UTR102185386258,Quantum Supplies
ACC-003,2026-07-13,-5197136,debit,Crest Capital payment,UTR293918137066,Crest Capital
ACC-003,2026-07-13,38765832,credit,Payment from Crest Capital,,Crest Capital
ACC-003,2026-07-14,1908265,credit,Payment from Zephyr Ltd,UTR727399747618,Zephyr Ltd
ACC-003,2026-07-14,26169675,credit,Payment from Synergy Solutions,UTR293499753476,Synergy Solutions
ACC-003,2026-07-14,-58838995,debit,Zephyr Ltd payment,UTR951616023363,Zephyr Ltd
ACC-003,2026-07-14,7067585,credit,Payment from Crest Capital,UTR110551644485,Crest Capital
ACC-003,2026-07-14,3904511,credit,Payment from Synergy Solutions,UTR505719475778,Synergy Solutions
ACC-003,2026-07-15,-3586762,debit,Apex Dynamics payment,UTR935571109496,Apex Dynamics
ACC-003,2026-07-15,34273767,credit,Payment from Apex Dynamics,UTR797272580412,Apex Dynamics
ACC-003,2026-07-15,-5210079,debit,Crest Capital payment,UTR101438888667,Crest Capital
ACC-003,2026-07-15,-12790615,debit,Apex Dynamics payment,UTR560584422688,Apex Dynamics
ACC-003,2026-07-15,-1349199,debit,Horizon Exports payment,,Horizon Exports
ACC-003,2026-07-16,23114045,credit,Payment from Metro Logistics,,Metro Logistics
ACC-003,2026-07-16,-6092546,debit,Pinnacle Tech payment,UTR924524434492,Pinnacle Tech
ACC-003,2026-07-16,-1204692,debit,BoltParts Pvt payment,UTR725312430866,BoltParts Pvt
ACC-003,2026-07-17,-4763021,debit,Pinnacle Tech payment,UTR384720580530,Pinnacle Tech
ACC-003,2026-07-17,17951554,credit,Payment from Crest Capital,UTR595287286538,Crest Capital
ACC-003,2026-07-18,1703722,credit,Payment from Zephyr Ltd,UTR949458361148,Zephyr Ltd
ACC-003,2026-07-18,28089154,credit,Payment from Vertex Systems,UTR688929079884,Vertex Systems
ACC-003,2026-07-18,-9803640,debit,Synergy Solutions payment,UTR608130312484,Synergy Solutions
ACC-003,2026-07-18,-23099327,debit,Prestige Estates payment,UTR867530862781,Prestige Estates
ACC-003,2026-07-19,-13280861,debit,Zephyr Ltd payment,UTR882075804310,Zephyr Ltd
ACC-003,2026-07-19,-3886798,debit,Zephyr Ltd payment,UTR130811527327,Zephyr Ltd
ACC-003,2026-07-20,-6059693,debit,Crest Capital payment,UTR204152323998,Crest Capital
ACC-003,2026-07-20,11805514,credit,Payment from Horizon Exports,UTR242688641049,Horizon Exports
ACC-003,2026-07-20,-3063943,debit,Zephyr Ltd payment,UTR192963214300,Zephyr Ltd
ACC-003,2026-07-20,-7044991,debit,Vertex Systems payment,,Vertex Systems
ACC-003,2026-07-20,-4110970,debit,Zephyr Ltd payment,UTR199337403298,Zephyr Ltd
ACC-003,2026-07-21,4935994,credit,Payment from BoltParts Pvt,UTR898098061664,BoltParts Pvt
ACC-003,2026-07-21,-5792642,debit,Pinnacle Tech payment,UTR290811069045,Pinnacle Tech
